idmen_care,AHENTSEX,AHENTAGE,AHENTCOH,SCORE_AIDE
1678,1.0,69.0,1,0.0
1681,1.0,66.0,1,2.0
1682,1.0,59.0,0,1.0
1685,2.0,62.0,1,1.0
1687,1.0,70.0,0,0.0
1688,2.0,69.0,0,0.0
1700,2.0,35.0,1,1.0
1700,2.0,13.0,1,0.0
1700,2.0,13.0,1,0.0
1700,1.0,11.0,1,0.0
1701,2.0,55.0,0,0.0
1702,2.0,63.0,1,0.0
1703,2.0,57.0,1,2.0
1713,2.0,66.0,0,0.0
1715,1.0,65.0,1,3.0
1716,2.0,53.0,0,0.0
1718,1.0,66.0,1,0.0
1719,1.0,65.0,1,0.0
1721,1.0,65.0,1,0.0
1721,1.0,41.0,0,0.0
1725,2.0,59.0,1,1.0
1727,2.0,66.0,1,1.0
1731,1.0,61.0,1,1.0
1735,2.0,69.0,0,1.0
1736,2.0,41.0,0,2.0
1748,1.0,63.0,1,5.0
1754,1.0,67.0,1,3.0
1754,2.0,41.0,0,0.0
1754,2.0,37.0,0,0.0
1758,1.0,66.0,1,0.0
1759,2.0,58.0,1,4.0
1766,1.0,67.0,1,2.0
1770,1.0,70.0,1,1.0
1773,1.0,65.0,1,1.0
1779,1.0,73.0,1,2.0
1779,2.0,41.0,1,0.0
1779,2.0,10.0,0,1.0
1788,2.0,60.0,1,4.0
1789,1.0,37.0,0,0.0
1789,1.0,32.0,0,1.0
1790,2.0,53.0,0,0.0
1792,2.0,63.0,1,0.0
1794,1.0,61.0,1,0.0
1795,1.0,75.0,1,1.0
1799,2.0,57.0,0,0.0
1814,1.0,59.0,0,0.0
1814,2.0,67.0,0,2.0
1817,2.0,71.0,1,3.0
1823,1.0,57.0,1,0.0
1824,2.0,61.0,1,7.0
1825,1.0,61.0,0,1.0
1826,2.0,62.0,1,0.0
1829,2.0,53.0,0,0.0
1830,2.0,67.0,1,4.0
1845,1.0,35.0,0,2.0
1845,1.0,43.0,0,1.0
1845,1.0,37.0,0,1.0
1846,1.0,68.0,1,1.0
1848,2.0,60.0,1,0.0
1862,1.0,66.0,1,1.0
1862,2.0,60.0,0,0.0
1862,2.0,60.0,0,0.0
1862,1.0,62.0,0,0.0
1863,1.0,69.0,1,1.0
1865,2.0,69.0,1,0.0
1873,1.0,66.0,1,0.0
1874,2.0,62.0,1,0.0
1884,2.0,64.0,1,1.0
1898,2.0,57.0,0,0.0
1898,1.0,41.0,0,0.0
1903,2.0,59.0,1,3.0
1909,2.0,38.0,0,1.0
1911,2.0,59.0,1,0.0
1911,2.0,32.0,0,1.0
1915,2.0,67.0,1,0.0
1921,1.0,66.0,1,2.0
1922,2.0,30.0,0,0.0
1922,2.0,56.0,0,0.0
1922,1.0,67.0,0,0.0
1924,1.0,64.0,0,0.0
1927,2.0,62.0,1,1.0
1928,1.0,68.0,1,2.0
1931,1.0,68.0,1,1.0
1931,2.0,34.0,0,5.0
1931,1.0,38.0,0,2.0
1936,2.0,67.0,0,0.0
1937,2.0,55.0,1,1.0
1938,1.0,70.0,1,2.0
1938,2.0,48.0,0,0.0
1938,2.0,45.0,0,0.0
1938,1.0,43.0,0,0.0
1939,2.0,64.0,1,0.0
1942,1.0,67.0,1,1.0
1944,2.0,40.0,0,1.0
1944,1.0,45.0,0,0.0
1944,2.0,36.0,0,1.0
1949,2.0,36.0,1,1.0
1956,2.0,38.0,0,0.0
1956,1.0,39.0,0,0.0
1956,2.0,34.0,0,0.0
1956,2.0,38.0,0,1.0
1965,2.0,64.0,1,1.0
1968,2.0,65.0,0,0.0
1968,2.0,65.0,0,0.0
